n_trial,uncertainty,seek,Market_change_1up,mc_model,Instr,Task1Seek,check,ID,Old1
7,24,0,1,450,0,1,2,60ea0222a57bce1e0b5f342e,1
8,66,0,0,-466,0,1,2,60ea0222a57bce1e0b5f342e,1
9,45,0,0,-468,0,1,2,60ea0222a57bce1e0b5f342e,1
11,93,0,1,423,0,1,2,60ea0222a57bce1e0b5f342e,1
12,97,0,0,-432,0,1,2,60ea0222a57bce1e0b5f342e,1
13,74,0,1,465,0,1,2,60ea0222a57bce1e0b5f342e,1
14,42,0,0,-474,0,1,2,60ea0222a57bce1e0b5f342e,1
15,65,0,1,438,0,1,2,60ea0222a57bce1e0b5f342e,1
17,54,0,0,-474,0,1,2,60ea0222a57bce1e0b5f342e,1
18,61,0,1,435,0,1,2,60ea0222a57bce1e0b5f342e,1
19,35,0,1,476,0,1,2,60ea0222a57bce1e0b5f342e,1
20,31,0,1,420,0,1,2,60ea0222a57bce1e0b5f342e,1
21,25,0,1,422,0,1,2,60ea0222a57bce1e0b5f342e,1
22,32,0,1,442,0,1,2,60ea0222a57bce1e0b5f342e,1
24,38,0,0,-403,0,1,2,60ea0222a57bce1e0b5f342e,1
25,33,0,1,452,0,1,2,60ea0222a57bce1e0b5f342e,1
27,22,0,1,425,0,1,2,60ea0222a57bce1e0b5f342e,1
28,74,0,0,-481,0,1,2,60ea0222a57bce1e0b5f342e,1
29,53,0,0,-418,0,1,2,60ea0222a57bce1e0b5f342e,1
30,95,0,0,-424,0,1,2,60ea0222a57bce1e0b5f342e,1
32,70,0,1,494,0,1,2,60ea0222a57bce1e0b5f342e,1
33,8,0,1,456,0,1,2,60ea0222a57bce1e0b5f342e,1
34,20,0,0,-441,0,1,2,60ea0222a57bce1e0b5f342e,1
35,59,0,1,466,0,1,2,60ea0222a57bce1e0b5f342e,1
36,45,0,1,429,0,1,2,60ea0222a57bce1e0b5f342e,1
37,51,0,0,-442,0,1,2,60ea0222a57bce1e0b5f342e,1
