n_trial,uncertainty,share,Predicted_MC_1up,Predicted_MC,Instr,Task1Seek,check,ID,mc_model,,ValInstr,UncIntr,ValUnc,3Qway
14,7,6,0,-461,1,2,4,558e734efdf99b3a5619b5d5,-461,0,-461,7,-3227,-3227
15,4,6,0,-456,1,2,4,558e734efdf99b3a5619b5d5,-456,0,-456,4,-1824,-1824
17,68,6,1,474,1,2,4,558e734efdf99b3a5619b5d5,-421,0,-421,68,-28628,-28628
18,4,6,0,-460,1,2,4,558e734efdf99b3a5619b5d5,-460,0,-460,4,-1840,-1840
19,70,6,0,-403,1,2,4,558e734efdf99b3a5619b5d5,-403,0,-403,70,-28210,-28210
20,2,6,1,407,1,2,4,558e734efdf99b3a5619b5d5,407,0,407,2,814,814
21,3,6,0,-434,1,2,4,558e734efdf99b3a5619b5d5,-434,0,-434,3,-1302,-1302
22,37,6,1,448,1,2,4,558e734efdf99b3a5619b5d5,448,0,448,37,16576,16576
24,2,6,0,-448,1,2,4,558e734efdf99b3a5619b5d5,-448,0,-448,2,-896,-896
25,41,6,1,427,1,2,4,558e734efdf99b3a5619b5d5,427,0,427,41,17507,17507
27,89,6,1,482,1,2,4,558e734efdf99b3a5619b5d5,465,0,465,89,41385,41385
28,60,6,1,462,1,2,4,558e734efdf99b3a5619b5d5,-417,0,-417,60,-25020,-25020
29,10,6,0,-475,1,2,4,558e734efdf99b3a5619b5d5,-400,0,-400,10,-4000,-4000
30,99,6,1,413,1,2,4,558e734efdf99b3a5619b5d5,409,0,409,99,40491,40491
32,94,6,0,-405,1,2,4,558e734efdf99b3a5619b5d5,490,0,490,94,46060,46060
33,18,6,0,-476,1,2,4,558e734efdf99b3a5619b5d5,-476,0,-476,18,-8568,-8568
34,78,6,0,-417,1,2,4,558e734efdf99b3a5619b5d5,-417,0,-417,78,-32526,-32526
35,36,6,0,-494,1,2,4,558e734efdf99b3a5619b5d5,-494,0,-494,36,-17784,-17784
36,87,6,1,448,1,2,4,558e734efdf99b3a5619b5d5,445,0,445,87,38715,38715
37,18,6,1,496,1,2,4,558e734efdf99b3a5619b5d5,496,0,496,18,8928,8928
38,34,6,0,-477,1,2,4,558e734efdf99b3a5619b5d5,-477,0,-477,34,-16218,-16218
40,43,6,0,-451,1,2,4,558e734efdf99b3a5619b5d5,-451,0,-451,43,-19393,-19393
