split_slug,direction,target,model_label,feature_source,k,oracle,env_val_mean_cluster_mae,env_val_avg_l1,mae,rmse,corr
num_rounds,low_to_high,contribution_rate,ridge_raw_cluster_oracle_cluster_only,cluster_only,4.0,True,,,0.07523415931950335,0.09013953692469684,0.5003704485297591
num_rounds,low_to_high,contribution_rate,ridge_raw_cluster_oracle_cluster_plus_config,cluster_plus_config,4.0,True,,,0.08180408935435238,0.09475370585073112,0.5163913588178441
num_rounds,low_to_high,contribution_rate,ridge_raw_cluster_pred_cluster_only,cluster_only,4.0,False,0.21607718730202485,0.8643087492080994,0.09504240180238108,0.11789928669718544,-0.0569354411502117
num_rounds,low_to_high,contribution_rate,ridge_raw_cluster_pred_cluster_plus_config,cluster_plus_config,4.0,False,0.21607718730202485,0.8643087492080994,0.0882436586729341,0.10599454219194265,0.27138110876349436
num_rounds,low_to_high,contribution_rate,ridge_text_cluster_oracle_cluster_only,cluster_only,6.0,True,,,0.045630419154600275,0.05801427219807715,0.8526374237844032
num_rounds,low_to_high,contribution_rate,ridge_text_cluster_oracle_cluster_plus_config,cluster_plus_config,6.0,True,,,0.046367984355670494,0.05718889793562943,0.8408381009124734
num_rounds,low_to_high,contribution_rate,ridge_text_cluster_pred_cluster_only,cluster_only,6.0,False,0.1299374067545556,0.7796244405273335,0.09905385600131042,0.11727375979321955,0.13714612261826925
num_rounds,low_to_high,contribution_rate,ridge_text_cluster_pred_cluster_plus_config,cluster_plus_config,6.0,False,0.1299374067545556,0.7796244405273335,0.092626950735885,0.1081807302747234,0.28397879528777975
num_rounds,low_to_high,normalized_efficiency,ridge_config,config,,False,,,0.12347353143542328,0.14795492846439148,0.21868656688105295
num_rounds,low_to_high,normalized_efficiency,ridge_raw_cluster_oracle_cluster_only,cluster_only,4.0,True,,,0.0939616544006467,0.10675210564728431,0.6156379611664715
num_rounds,low_to_high,normalized_efficiency,ridge_raw_cluster_oracle_cluster_plus_config,cluster_plus_config,4.0,True,,,0.11245013305288995,0.14059036569556316,0.36231650395657905
num_rounds,low_to_high,normalized_efficiency,ridge_raw_cluster_pred_cluster_only,cluster_only,4.0,False,0.21607718730202485,0.8643087492080994,0.11102495013665307,0.1363522914962272,-0.04446372252206545
num_rounds,low_to_high,normalized_efficiency,ridge_raw_cluster_pred_cluster_plus_config,cluster_plus_config,4.0,False,0.21607718730202485,0.8643087492080994,0.1284026990567726,0.15762256068558708,0.07029941038386427
num_rounds,low_to_high,normalized_efficiency,ridge_text_cluster_oracle_cluster_only,cluster_only,6.0,True,,,0.08203193674187104,0.09322785883902539,0.7921874509021936
num_rounds,low_to_high,normalized_efficiency,ridge_text_cluster_oracle_cluster_plus_config,cluster_plus_config,6.0,True,,,0.09640267703634424,0.11729236463120953,0.6680081779067963
num_rounds,low_to_high,normalized_efficiency,ridge_text_cluster_pred_cluster_only,cluster_only,6.0,False,0.1299374067545556,0.7796244405273335,0.1275926025470514,0.14242030312428147,0.15589823866676084
num_rounds,low_to_high,normalized_efficiency,ridge_text_cluster_pred_cluster_plus_config,cluster_plus_config,6.0,False,0.1299374067545556,0.7796244405273335,0.127857459339413,0.15163705834483351,0.1684127592479157
player_count,high_to_low,contribution_rate,ridge_config,config,,False,,,0.11714938260949621,0.1377425610905238,0.3737845989213045
player_count,high_to_low,contribution_rate,ridge_raw_cluster_oracle_cluster_only,cluster_only,4.0,True,,,0.0688772573284127,0.08505108186930453,0.5020507156751443
player_count,high_to_low,contribution_rate,ridge_raw_cluster_oracle_cluster_plus_config,cluster_plus_config,4.0,True,,,0.1043587074855596,0.12243591052903705,0.4931988727764388
player_count,high_to_low,contribution_rate,ridge_raw_cluster_pred_cluster_only,cluster_only,4.0,False,0.2218189191448191,0.8872756765792763,0.08981848420201408,0.1082181840869263,0.37871380907500535
player_count,high_to_low,contribution_rate,ridge_raw_cluster_pred_cluster_plus_config,cluster_plus_config,4.0,False,0.2218189191448191,0.8872756765792763,0.10850254352480398,0.1276531008432605,0.32453244393711456
player_count,high_to_low,contribution_rate,ridge_text_cluster_oracle_cluster_only,cluster_only,6.0,True,,,0.04838460582620607,0.06394335447752451,0.7398955967166245
player_count,high_to_low,contribution_rate,ridge_text_cluster_oracle_cluster_plus_config,cluster_plus_config,6.0,True,,,0.06742087025455988,0.08905145190586397,0.6310279733326896
player_count,high_to_low,contribution_rate,ridge_text_cluster_pred_cluster_only,cluster_only,6.0,False,0.15818053002879598,0.9490831801727757,0.10230777975788588,0.12137854058852006,0.20594050498572597
player_count,high_to_low,contribution_rate,ridge_text_cluster_pred_cluster_plus_config,cluster_plus_config,6.0,False,0.15818053002879598,0.9490831801727757,0.10302375399381004,0.12623582781264897,0.32959016754189374
player_count,high_to_low,normalized_efficiency,ridge_config,config,,False,,,0.14990793210959952,0.17888563581133032,0.40040336033847634
