benchmark_id,gameId,benchmark_game_count,human_normalized_efficiency,CONFIG_playerCount,CONFIG_numRounds,CONFIG_showNRounds,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_punishmentExists,CONFIG_punishmentCost,CONFIG_punishmentTech,CONFIG_rewardExists,CONFIG_rewardCost,CONFIG_rewardTech,CONFIG_showOtherSummaries,CONFIG_showPunishmentId,CONFIG_showRewardId,CONFIG_MPCR,human_mean_contribution_rate,human_punishment_rate,human_reward_rate,human_games_in_benchmark,human_var_players_contrib_rate,human_var_players_punishment_rate,human_var_players_reward_rate,sim_mean_contribution_rate,sim_punishment_rate,sim_reward_rate,sim_normalized_efficiency,sim_games_in_benchmark,run_id,label,linear_mean_contribution_rate,linear_punishment_rate,linear_reward_rate,linear_normalized_efficiency,linear_var_players_contrib_rate,linear_var_players_punishment_rate,linear_var_players_reward_rate
VALIDATION_10_C,65crAkEscRbHNJXbW,10,0.6926024758484293,3,6,True,False,True,0,False,4,3.0,False,4,0.75,True,False,False,0.63,0.68,0.0,0.0,10,0.02297222222222222,0.0,0.0,0.6144444444444443,0.0,0.0,0.6144444444444443,10,260310_valraw417_archetype_cluster,archetype_cluster,,,,,,,
VALIDATION_10_T,3EG5RaDj4z7hkT2JD,10,0.5381979720980418,3,6,True,False,True,0,True,4,3.0,False,4,0.75,True,False,False,0.63,0.6827777777777778,0.13333333333333333,0.0,10,0.05108487654320987,0.016666666666666666,0.0,0.7222222222222222,0.16666666666666666,0.0,0.31234567901234567,10,260310_valraw417_archetype_cluster,archetype_cluster,,,,,,,
VALIDATION_11_C,GqAf4oMK2S8jxx46u,10,0.7699955654954321,12,26,True,True,True,1,False,1,2.0,True,1,1.0,False,False,False,0.24,0.7282051282051282,0.0,0.191025641025641,10,0.10001643655489809,0.0,0.04539160092044708,0.7400641025641026,0.0,0.15384615384615385,0.7732992884308674,10,260310_valraw417_archetype_cluster,archetype_cluster,,,,,,,
VALIDATION_11_T,925LF9k9CXpz8KjQm,11,0.7881518926869776,12,26,True,True,True,1,True,1,2.0,True,1,1.0,False,False,False,0.24,0.7867132867132867,0.10693473193473194,0.09236596736596736,11,0.08225561831331062,0.027778711672942446,0.02717354760623991,0.7278554778554778,0.1255827505827506,0.14277389277389277,0.7423782357992884,11,260310_valraw417_archetype_cluster,archetype_cluster,,,,,,,
VALIDATION_12_C,43EgdreyndHorgfGv,12,0.7487540827375337,6,12,False,True,True,0,False,2,2.5,False,2,1.5,True,True,True,0.62,0.7314814814814815,0.0,0.0,12,0.06963734567901235,0.0,0.0,0.6064814814814815,0.0,0.0,0.6216820987654321,12,260310_valraw417_archetype_cluster,archetype_cluster,,,,,,,
VALIDATION_12_T,DYFJDsdGg8bppBJ7P,12,0.8252393996108482,6,12,False,True,True,0,True,2,2.5,False,2,1.5,True,True,True,0.62,0.8310185185185185,0.15393518518518517,0.0,12,0.06867283950617284,0.03200552983539095,0.0,0.7291666666666666,0.125,0.0,0.7285622427983539,12,260310_valraw417_archetype_cluster,archetype_cluster,,,,,,,
VALIDATION_13_C,CbDvrXGkphmfGtH3G,10,0.8534498314441079,16,17,True,False,True,0,False,4,3.75,True,4,0.5,False,True,True,0.28,0.8125551470588236,0.0,0.14080882352941176,10,0.07251177619485294,0.0,0.04301876081314879,0.6557904411764706,0.0,0.1636029411764706,0.6862115096038416,10,260310_valraw417_archetype_cluster,archetype_cluster,,,,,,,
VALIDATION_13_T,6Mw9RRwcGQrJbouQh,11,0.8625226184582274,16,17,True,False,True,0,True,4,3.75,True,4,0.5,False,True,True,0.28,0.8798963903743315,0.0855614973262032,0.0661764705882353,11,0.047837109129246616,0.017465692827933314,0.01684885184020132,0.7245487967914438,0.12533422459893048,0.13435828877005346,0.6364067672523555,11,260310_valraw417_archetype_cluster,archetype_cluster,,,,,,,
VALIDATION_14_C,5jDHNDoA3Zrd9ZWyP,12,0.8105213742585242,6,19,True,False,True,1,False,2,1.5,True,2,1.0,False,False,False,0.3,0.7596125730994153,0.0,0.12719298245614036,12,0.06417489035087719,0.0,0.027444341848773982,0.7032529239766081,0.0,0.15350877192982457,0.7686184210526316,12,260310_valraw417_archetype_cluster,archetype_cluster,,,,,,,
VALIDATION_14_T,AyQkFs97hRTki5zWR,10,0.749552709269388,6,19,True,False,True,1,True,2,1.5,True,2,1.0,False,False,False,0.3,0.8812719298245614,0.08508771929824561,0.11491228070175438,10,0.019084853031702063,0.018613419513696522,0.016551246537396123,0.7214035087719297,0.1280701754385965,0.14736842105263157,0.594484649122807,10,260310_valraw417_archetype_cluster,archetype_cluster,,,,,,,
VALIDATION_15_C,2YKNNw2fCqfipoCoZ,11,0.6971740247158917,13,14,True,True,False,0,False,3,3.67,True,3,1.33,True,False,False,0.2,0.6193806193806194,0.0,0.3676323676323676,11,0.08319702275746232,0.0,0.09257226290193322,0.6078921078921079,0.0,0.1853146853146853,0.6592092803030303,11,260310_valraw417_archetype_cluster,archetype_cluster,,,,,,,
VALIDATION_15_T,5fdwb2HXQnvKEm7oJ,9,0.5899232403226772,13,14,True,True,False,0,True,3,3.67,True,3,1.33,True,False,False,0.2,0.701098901098901,0.2357142857142857,0.16648351648351647,9,0.06921466811576701,0.05838666827677816,0.04672342309704947,0.6257631257631258,0.15384615384615385,0.14285714285714288,0.4732190552503053,9,260310_valraw417_archetype_cluster,archetype_cluster,,,,,,,
VALIDATION_16_C,53ApueW6mJbX6RZgo,10,0.8522129342419067,10,15,True,True,True,0,False,4,2.0,False,4,1.25,True,True,True,0.19,0.7933333333333333,0.0,0.0,10,0.05262222222222222,0.0,0.0,0.6993333333333334,0.0,0.0,0.7969876543209876,10,260310_valraw417_archetype_cluster,archetype_cluster,,,,,,,
VALIDATION_16_T,7tfDsTHHnxsgrhE3d,8,0.6398825186142613,10,15,True,True,True,0,True,4,2.0,False,4,1.25,True,True,True,0.19,0.8375,0.13166666666666665,0.0,8,0.05462777777777779,0.0188,0.0,0.695,0.12416666666666668,0.0,0.48246913580246914,8,260310_valraw417_archetype_cluster,archetype_cluster,,,,,,,
VALIDATION_17_C,HhHJTAC8zoaewhiCM,11,0.620493028383016,19,10,False,True,False,1,False,2,1.5,False,2,1.5,True,False,False,0.61,0.5822966507177033,0.0,0.0,11,0.10119365399143793,0.0,0.0,0.5521531100478468,0.0,0.0,0.5838570728663608,11,260310_valraw417_archetype_cluster,archetype_cluster,,,,,,,
VALIDATION_17_T,7FQezekfKk3zctLN8,8,0.6533864541533672,19,10,False,True,False,1,True,2,1.5,False,2,1.5,True,False,False,0.61,0.6602649006622516,0.3079470198675497,0.0,8,0.1147671612632947,0.0952231455832564,0.0,0.5434210526315789,0.14276315789473684,0.0,0.5621754037872458,8,260310_valraw417_archetype_cluster,archetype_cluster,,,,,,,
VALIDATION_18_C,2khRAszouj8vP8ZfP,12,0.6201704583195954,4,23,True,True,True,1,False,1,2.0,False,1,1.0,True,False,False,0.62,0.5969202898550725,0.0,0.0,12,0.040967627599243855,0.0,0.0,0.7028985507246377,0.0,0.0,0.7028985507246377,12,260310_valraw417_archetype_cluster,archetype_cluster,,,,,,,
