game_id,treatment_name,config_id,player,player_key,num_rounds,interaction_mode,max_observed_contribution,mean_contribution,mean_contribution_rate,first_contribution,first_contribution_rate,final_contribution,final_contribution_rate,contribution_sd,zero_contribution_rate,full_contribution_rate,contribution_slope,message_count,messages_per_round,rounds_with_message_rate,reward_given_units,reward_given_events,reward_given_round_rate,reward_received_units,reward_received_events,reward_received_round_rate,punish_given_units,punish_given_events,punish_given_round_rate,punish_received_units,punish_received_events,punish_received_round_rate,top1_count,top1_share,probability_mass,probability_share
6Pxb9DsQpyk22cJNr,VALIDATION_1_C,1,SLOTH,6Pxb9DsQpyk22cJNr::SLOTH,16,none,20.0,16.5625,0.828125,20.0,1.0,20.0,1.0,4.992911642185016,0.0625,0.4375,-0.3341911764705882,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,28,0.021875,20.370000000000005,0.015914062500000003
6Pxb9DsQpyk22cJNr,VALIDATION_1_C,1,GORILLA,6Pxb9DsQpyk22cJNr::GORILLA,16,none,20.0,10.0625,0.503125,10.0,0.5,0.0,0.0,4.795397098607511,0.125,0.0625,-0.5018382352941175,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.00078125,4.21,0.0032890625
6Pxb9DsQpyk22cJNr,VALIDATION_1_C,1,DUCK,6Pxb9DsQpyk22cJNr::DUCK,16,none,20.0,11.6875,0.584375,20.0,1.0,0.0,0.0,7.8885465496925775,0.25,0.3125,-1.1172794117647058,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,3,0.00234375,7.42,0.005796875
3v9ji6wNY7sXHe8cM,VALIDATION_4_C,4,SLOTH,3v9ji6wNY7sXHe8cM::SLOTH,8,reward,20.0,17.5,0.875,20.0,1.0,20.0,1.0,7.0710678118654755,0.125,0.875,0.4166666666666667,2,0.25,0.125,0.0,0,0.0,33.0,26,1.0,0.0,0,0.0,0.0,0,0.0,29,0.02265625,18.650000000000002,0.014570312500000002
3v9ji6wNY7sXHe8cM,VALIDATION_4_C,4,GORILLA,3v9ji6wNY7sXHe8cM::GORILLA,8,reward,20.0,12.5,0.625,0.0,0.0,20.0,1.0,10.350983390135314,0.375,0.625,0.5833333333333333,1,0.125,0.125,22.0,22,1.0,21.0,18,0.875,0.0,0,0.0,0.0,0,0.0,0,0.0,4.920000000000001,0.003843750000000001
3v9ji6wNY7sXHe8cM,VALIDATION_4_C,4,DUCK,3v9ji6wNY7sXHe8cM::DUCK,8,reward,20.0,15.0,0.75,20.0,1.0,20.0,1.0,9.258200997725515,0.25,0.75,-0.33333333333333326,1,0.125,0.125,28.0,17,1.0,17.0,16,1.0,0.0,0,0.0,0.0,0,0.0,3,0.00234375,7.299999999999999,0.005703124999999999
3v9ji6wNY7sXHe8cM,VALIDATION_4_C,4,CHICKEN,3v9ji6wNY7sXHe8cM::CHICKEN,8,reward,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.125,0.125,30.0,30,0.75,6.0,6,0.5,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
3v9ji6wNY7sXHe8cM,VALIDATION_4_C,4,DOG,3v9ji6wNY7sXHe8cM::DOG,8,reward,20.0,2.5,0.125,0.0,0.0,0.0,0.0,7.0710678118654755,0.875,0.125,0.41666666666666663,1,0.125,0.125,24.0,20,0.875,9.0,9,0.75,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
3v9ji6wNY7sXHe8cM,VALIDATION_4_C,4,PARROT,3v9ji6wNY7sXHe8cM::PARROT,8,reward,20.0,5.0,0.25,20.0,1.0,0.0,0.0,9.258200997725515,0.75,0.25,-0.16666666666666674,2,0.25,0.25,12.0,12,0.25,13.0,10,0.75,0.0,0,0.0,0.0,0,0.0,0,0.0,1.03,0.0008046875000000001
3v9ji6wNY7sXHe8cM,VALIDATION_4_C,4,MOOSE,3v9ji6wNY7sXHe8cM::MOOSE,8,reward,20.0,7.5,0.375,0.0,0.0,0.0,0.0,10.350983390135314,0.625,0.375,0.41666666666666663,0,0.0,0.0,0.0,0,0.0,17.0,16,0.75,0.0,0,0.0,0.0,0,0.0,0,0.0,0.1,7.8125e-05
