PID;Duration;A1comp1;A1comp2;A1comp3;A1comp4;A2comp1;A2comp2;A2comp3;A2comp4OB;checkObs;calcPun;uncalcPun;A2comp4HID;checkHid;return;G1Bcomp1;G1Bcomp2;G1Bcomp3;G1Bcomp4;G2Bcomp1;G2Bcomp2;G2Bcomp3;punUncalc;noUncalc;punCalc;noCalc;punHid;noPunHid;gender;age;Condition;RecordedDate
211;876;;;;;;;;;;;;;;;0;0;0;1;1;1;1;2;2;4;1;;;2;62;5;22/11/2023 16:57
212;460;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;4;4;1;39;6;22/11/2023 16:57
213;368;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;4;2;36;6;22/11/2023 16:58
214;183;;;;;;;;;;;;;;;1;1;0;0;0;0;1;;;;;0;5;2;54;6;22/11/2023 16:58
215;303;1;0;1;1;0;0;1;;;0;;1;1;50;;;;;;;;;;;;;;2;30;4;22/11/2023 16:59
216;395;0;1;0;1;1;0;1;1;1;1;;;;5;;;;;;;;;;;;;;2;53;3;22/11/2023 17:00
217;766;0;1;1;1;1;0;1;;;;0;1;0;10;;;;;;;;;;;;;;2;30;4;22/11/2023 17:01
218;814;;;;;;;;;;;;;;;1;1;1;0;0;0;1;;;;;4;10;2;33;6;22/11/2023 17:01
219;350;;;;;;;;;;;;;;;1;0;1;1;1;1;1;0;0;0;0;;;1;55;5;22/11/2023 17:02
220;452;0;0;1;1;1;1;1;1;0;;0;;;10;;;;;;;;;;;;;;2;45;3;22/11/2023 17:03
221;565;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;0;1;39;6;22/11/2023 17:03
222;137;;;;;;;;;;;;;;;0;0;0;0;1;0;1;;;;;1;2;3;50;6;22/11/2023 17:04
