PID;Duration;A1comp1;A1comp2;A1comp3;A1comp4;A2comp1;A2comp2;A2comp3;A2comp4OB;checkObs;calcHelp;uncalcHelp;A2comp4HID;checkHid;return;G1Bcomp1;G1Bcomp2;G1Bcomp3;G1Bcomp4;G2Bcomp1;G2Bcomp2;G2Bcomp3;helpUncalc;noUncalc;helpCalc;noCalc;helpHid;noHelpHid;gender;age;Condition;RecordedDate
1334;386;;;;;;;;;;;;;;;1;0;1;1;1;1;1;;;;;10;10;2;52;6;20/11/2023 06:45
1335;387;0;0;1;0;1;0;0;;;0;;0;1;100;;;;;;;;;;;;;;2;40;4;20/11/2023 06:45
1336;387;;;;;;;;;;;;;;;0;0;1;0;1;0;1;;;;;10;10;1;36;6;20/11/2023 06:48
1337;387;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;29;4;20/11/2023 06:56
1338;387;1;0;1;0;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;55;4;20/11/2023 06:59
1339;387;;;;;;;;;;;;;;;1;1;1;0;1;1;1;;;;;10;5;2;44;6;20/11/2023 07:01
1340;387;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;0;2;50;6;20/11/2023 07:13
1341;387;;;;;;;;;;;;;;;1;1;1;1;1;1;1;5;0;5;0;;;2;23;5;20/11/2023 07:14
1342;387;;;;;;;;;;;;;;;1;1;1;1;1;0;1;5;0;5;0;;;2;22;5;20/11/2023 07:21
1343;387;0;1;1;0;1;1;1;;;1;;0;1;50;;;;;;;;;;;;;;2;27;4;20/11/2023 07:28
1344;388;;;;;;;;;;;;;;;0;0;0;1;1;0;1;10;6;8;8;;;1;43;5;20/11/2023 07:33
1345;388;;;;;;;;;;;;;;;0;1;0;0;1;0;1;5;5;5;5;;;2;23;5;20/11/2023 07:34
1346;388;0;1;1;1;0;1;1;1;1;1;;;;0;;;;;;;;;;;;;;2;40;3;20/11/2023 07:37
1347;388;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;0;10;0;;;1;43;5;20/11/2023 07:42
1348;388;;;;;;;;;;;;;;;0;1;1;0;1;0;1;;;;;10;5;1;23;6;20/11/2023 07:45
1349;388;1;1;0;1;1;1;1;;;1;;1;1;34;;;;;;;;;;;;;;2;38;4;20/11/2023 07:49
1350;388;0;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;28;3;20/11/2023 07:53
1351;388;0;0;0;1;1;1;1;;;1;;1;1;36;;;;;;;;;;;;;;2;23;4;20/11/2023 07:53
1352;389;1;1;1;1;0;1;1;1;1;1;;;;30;;;;;;;;;;;;;;1;20;3;20/11/2023 07:55
1353;389;1;1;0;1;1;1;1;1;1;0;;;;0;;;;;;;;;;;;;;1;38;3;20/11/2023 07:59
1354;389;;;;;;;;;;;;;;;0;1;1;0;1;1;1;;;;;10;5;1;22;6;20/11/2023 08:00
1355;389;0;1;1;0;1;1;1;;;;1;1;0;0;;;;;;;;;;;;;;1;36;4;20/11/2023 08:02
1356;390;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;0;6;6;;;1;42;5;20/11/2023 08:03
1357;390;;;;;;;;;;;;;;;1;1;1;0;1;1;1;10;8;10;10;;;2;19;5;20/11/2023 08:03
1358;390;0;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;34;3;20/11/2023 08:04
1359;390;;;;;;;;;;;;;;;0;1;1;1;1;0;1;10;10;10;10;;;2;24;5;20/11/2023 08:06
1360;390;0;0;1;1;1;1;1;1;0;;1;;;50;;;;;;;;;;;;;;2;42;3;20/11/2023 08:07
1361;390;;;;;;;;;;;;;;;1;1;1;0;0;1;0;;;;;3;3;2;21;6;20/11/2023 08:07
1362;390;;;;;;;;;;;;;;;0;1;1;0;1;1;1;5;5;5;5;;;2;29;5;20/11/2023 08:08
1363;390;;;;;;;;;;;;;;;0;0;1;1;1;0;1;;;;;10;5;2;30;6;20/11/2023 08:10
1364;390;;;;;;;;;;;;;;;0;0;0;0;1;0;1;;;;;4;2;2;50;6;20/11/2023 08:10
1365;390;;;;;;;;;;;;;;;0;1;1;0;0;1;0;5;5;5;5;;;2;31;5;20/11/2023 08:13
1366;391;0;1;1;0;1;0;1;;;1;;0;1;40;;;;;;;;;;;;;;2;50;4;20/11/2023 08:14
1367;392;;;;;;;;;;;;;;;0;1;0;1;1;1;1;;;;;10;10;1;32;6;20/11/2023 08:15
1368;392;;;;;;;;;;;;;;;0;0;0;0;1;0;1;5;5;5;5;;;1;36;5;20/11/2023 08:16
1369;392;;;;;;;;;;;;;;;0;1;1;1;0;0;1;;;;;5;5;2;56;6;20/11/2023 08:19
1370;392;1;0;0;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;54;3;20/11/2023 08:22
1371;392;;;;;;;;;;;;;;;1;1;1;1;1;1;0;10;3;10;4;;;2;42;5;20/11/2023 08:24
1372;392;1;0;0;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;56;4;20/11/2023 08:25
1373;392;0;1;1;1;1;1;1;1;1;0;;;;1;;;;;;;;;;;;;;2;58;3;20/11/2023 08:25
1374;392;0;0;1;0;0;0;1;;;1;;1;1;30;;;;;;;;;;;;;;1;25;4;20/11/2023 08:26
1375;393;1;1;1;1;1;1;1;1;0;;1;;;50;;;;;;;;;;;;;;1;21;3;20/11/2023 08:26
1376;393;0;1;1;0;0;1;1;0;1;0;;;;20;;;;;;;;;;;;;;2;28;3;20/11/2023 08:27
1377;393;;;;;;;;;;;;;;;0;0;1;1;0;0;0;5;5;5;5;;;2;43;5;20/11/2023 08:27
1378;393;;;;;;;;;;;;;;;0;1;1;1;0;1;1;10;0;10;10;;;1;28;5;20/11/2023 08:29
1379;393;0;1;1;0;1;1;1;;;;1;1;0;50;;;;;;;;;;;;;;2;30;4;20/11/2023 08:30
1380;393;;;;;;;;;;;;;;;0;1;1;1;0;0;1;4;0;4;4;;;2;30;5;20/11/2023 08:32
1381;393;;;;;;;;;;;;;;;1;1;1;0;0;1;1;;;;;5;0;2;55;6;20/11/2023 08:34
1382;393;1;1;1;1;1;1;1;;;;0;1;0;0;;;;;;;;;;;;;;1;33;4;20/11/2023 08:34
1383;393;;;;;;;;;;;;;;;0;1;0;0;0;0;0;6;4;8;4;;;1;42;5;20/11/2023 08:35
1384;393;0;1;1;1;1;1;1;1;1;0;;;;40;;;;;;;;;;;;;;1;35;3;20/11/2023 08:36
1385;394;0;1;1;1;0;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;51;3;20/11/2023 08:36
1386;394;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;25;4;20/11/2023 08:37
1387;394;0;1;1;1;1;1;1;1;0;;1;;;100;;;;;;;;;;;;;;1;29;3;20/11/2023 08:44
1388;394;0;1;1;1;1;0;1;;;1;;1;1;50;;;;;;;;;;;;;;2;37;4;20/11/2023 08:44
1389;394;0;0;1;1;1;0;1;;;1;;1;1;50;;;;;;;;;;;;;;2;54;4;20/11/2023 08:45
1390;394;0;1;0;0;1;1;1;;;1;;1;1;60;;;;;;;;;;;;;;1;20;4;20/11/2023 08:46
1391;394;;;;;;;;;;;;;;;1;0;1;1;0;1;1;;;;;8;2;2;29;6;20/11/2023 08:46
1392;394;0;1;1;0;1;0;1;0;1;1;;;;60;;;;;;;;;;;;;;1;52;3;20/11/2023 08:46
1393;395;1;1;1;1;1;1;1;;;0;;1;1;50;;;;;;;;;;;;;;2;22;4;20/11/2023 08:47
1394;395;0;1;0;0;1;0;0;;;1;;0;1;50;;;;;;;;;;;;;;2;54;4;20/11/2023 08:47
1395;395;;;;;;;;;;;;;;;0;1;1;1;1;0;1;10;10;10;10;;;2;44;5;20/11/2023 08:49
1396;395;1;1;1;1;1;1;1;1;0;;1;;;50;;;;;;;;;;;;;;2;38;3;20/11/2023 08:49
1397;395;0;0;0;1;1;0;1;;;1;;1;1;30;;;;;;;;;;;;;;2;52;4;20/11/2023 08:50
1398;395;;;;;;;;;;;;;;;0;1;1;1;1;1;1;8;0;7;2;;;2;24;5;20/11/2023 08:50
1399;395;1;1;0;1;1;1;1;1;0;;1;;;60;;;;;;;;;;;;;;2;50;3;20/11/2023 08:50
1400;395;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;5;10;1;68;6;20/11/2023 08:54
1401;395;;;;;;;;;;;;;;;1;0;1;1;1;1;1;;;;;10;10;1;26;6;20/11/2023 08:55
1402;395;1;1;1;1;0;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;29;4;20/11/2023 08:55
1403;396;;;;;;;;;;;;;;;0;1;1;1;1;1;1;5;5;5;5;;;2;35;5;20/11/2023 08:56
1404;396;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;4;1;48;6;20/11/2023 08:56
1405;396;1;0;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;48;3;20/11/2023 08:57
1406;396;1;0;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;24;4;20/11/2023 08:58
1407;397;1;1;1;0;1;1;1;1;0;;1;;;100;;;;;;;;;;;;;;2;27;3;20/11/2023 08:58
1408;397;0;1;0;1;0;1;0;0;1;1;;;;50;;;;;;;;;;;;;;2;30;3;20/11/2023 09:00
1409;397;1;1;0;1;0;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;35;4;20/11/2023 09:00
1410;397;;;;;;;;;;;;;;;0;0;1;1;1;0;1;5;0;8;0;;;2;32;5;20/11/2023 09:01
1411;397;;;;;;;;;;;;;;;1;1;1;0;0;1;1;5;5;5;5;;;2;28;5;20/11/2023 09:01
1412;397;1;1;1;1;0;0;1;;;;1;1;0;30;;;;;;;;;;;;;;2;31;4;20/11/2023 09:02
1413;397;;;;;;;;;;;;;;;1;0;1;1;1;0;0;5;5;5;5;;;1;58;5;20/11/2023 09:03
1414;397;1;1;1;1;1;1;1;;;1;;1;1;0;;;;;;;;;;;;;;1;28;4;20/11/2023 09:06
1415;398;;;;;;;;;;;;;;;0;1;1;1;0;0;1;4;4;7;5;;;2;39;5;20/11/2023 09:07
1416;398;;;;;;;;;;;;;;;1;0;1;0;1;1;1;10;10;10;10;;;1;48;5;20/11/2023 09:07
1417;398;;;;;;;;;;;;;;;0;1;1;0;0;0;1;;;;;5;2;2;47;6;20/11/2023 09:07
1418;398;;;;;;;;;;;;;;;0;0;1;1;1;0;1;;;;;10;10;2;59;6;20/11/2023 09:09
1419;398;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;10;10;10;;;2;39;5;20/11/2023 09:10
1420;398;1;1;1;1;1;1;1;1;1;0;;;;25;;;;;;;;;;;;;;2;33;3;20/11/2023 09:10
1421;398;;;;;;;;;;;;;;;1;1;1;0;1;0;1;;;;;10;0;2;31;6;20/11/2023 09:11
1422;398;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;5;0;2;39;6;20/11/2023 09:11
1423;398;;;;;;;;;;;;;;;1;1;1;1;1;1;1;6;3;5;4;;;2;37;5;20/11/2023 09:12
1424;398;1;0;1;0;0;0;1;;;1;;1;1;10;;;;;;;;;;;;;;2;24;4;20/11/2023 09:14
1425;398;1;0;1;1;1;1;0;1;1;1;;;;50;;;;;;;;;;;;;;2;27;3;20/11/2023 09:14
1426;398;;;;;;;;;;;;;;;1;0;1;1;1;1;0;5;0;10;0;;;1;34;5;20/11/2023 09:14
1427;399;1;1;1;1;1;1;1;1;0;;1;;;50;;;;;;;;;;;;;;2;35;3;20/11/2023 09:14
1428;399;1;1;1;1;1;1;1;0;1;0;;;;0;;;;;;;;;;;;;;1;31;3;20/11/2023 09:16
1429;399;;;;;;;;;;;;;;;1;0;1;0;1;0;1;10;1;3;0;;;1;29;5;20/11/2023 09:18
1430;399;0;1;0;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;48;4;20/11/2023 09:19
1431;400;0;0;1;1;1;0;1;;;;1;1;0;50;;;;;;;;;;;;;;2;33;4;20/11/2023 09:20
1432;400;0;1;0;1;0;1;0;;;1;;0;1;50;;;;;;;;;;;;;;1;64;4;20/11/2023 09:22
1433;400;0;1;1;0;0;1;0;0;1;1;;;;50;;;;;;;;;;;;;;2;39;3;20/11/2023 09:23
1434;400;0;0;1;0;1;1;1;1;1;0;;;;9;;;;;;;;;;;;;;2;56;3;20/11/2023 09:25
1435;400;0;1;0;0;0;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;45;4;20/11/2023 09:25
1436;401;0;1;0;0;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;48;3;20/11/2023 09:27
1437;401;0;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;36;4;20/11/2023 09:27
1438;401;1;0;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;56;4;20/11/2023 09:29
1439;401;0;0;1;1;0;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;27;4;20/11/2023 09:29
1440;401;;;;;;;;;;;;;;;1;0;0;0;1;0;1;10;10;10;10;;;1;26;5;20/11/2023 09:30
1441;402;1;1;1;0;0;1;0;1;1;1;;;;50;;;;;;;;;;;;;;1;33;3;20/11/2023 09:30
1442;402;0;1;1;1;1;0;1;;;;1;1;0;50;;;;;;;;;;;;;;1;50;4;20/11/2023 09:31
1443;402;;;;;;;;;;;;;;;0;0;1;0;1;0;1;;;;;10;0;2;40;6;20/11/2023 09:31
1444;402;1;1;1;1;0;1;1;;;1;;1;1;33;;;;;;;;;;;;;;1;41;4;20/11/2023 09:32
1445;402;;;;;;;;;;;;;;;0;0;0;1;1;1;1;0;0;5;0;;;1;49;5;20/11/2023 09:32
1446;402;1;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;27;3;20/11/2023 09:33
1447;402;1;1;0;0;0;1;1;0;0;;1;;;50;;;;;;;;;;;;;;2;41;3;20/11/2023 09:33
1448;402;0;0;1;0;1;0;1;1;1;1;;;;50;;;;;;;;;;;;;;2;41;3;20/11/2023 09:33
1449;402;0;0;0;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;38;4;20/11/2023 09:35
1450;403;1;1;0;0;0;1;1;0;1;1;;;;54;;;;;;;;;;;;;;2;39;3;20/11/2023 09:35
1451;403;1;1;1;1;0;1;1;;;;1;1;0;50;;;;;;;;;;;;;;1;40;4;20/11/2023 09:37
1452;403;1;1;1;1;1;1;1;1;1;1;;;;20;;;;;;;;;;;;;;1;29;3;20/11/2023 09:37
1453;403;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;10;2;18;6;20/11/2023 09:37
1454;403;0;0;1;1;0;1;1;1;1;1;;;;40;;;;;;;;;;;;;;2;62;3;20/11/2023 09:38
1455;403;;;;;;;;;;;;;;;0;0;0;1;0;1;1;10;10;10;10;;;1;38;5;20/11/2023 09:39
1456;403;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;39;4;20/11/2023 09:40
1457;403;1;0;1;1;1;1;1;1;1;0;;;;50;;;;;;;;;;;;;;1;65;3;20/11/2023 09:40
1458;404;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;10;2;44;6;20/11/2023 09:41
1459;404;;;;;;;;;;;;;;;1;0;1;0;0;1;1;;;;;5;5;2;34;6;20/11/2023 09:41
1460;404;1;0;1;0;0;1;1;0;1;1;;;;20;;;;;;;;;;;;;;2;67;3;20/11/2023 09:41
1461;404;;;;;;;;;;;;;;;0;1;1;1;1;0;1;;;;;5;1;2;26;6;20/11/2023 09:42
1462;404;;;;;;;;;;;;;;;0;1;0;0;1;0;1;;;;;8;8;1;32;6;20/11/2023 09:43
1463;404;;;;;;;;;;;;;;;0;1;1;1;1;1;0;;;;;10;5;2;28;6;20/11/2023 09:43
1464;404;;;;;;;;;;;;;;;1;1;1;0;1;1;1;;;;;8;4;1;63;6;20/11/2023 09:46
1465;404;;;;;;;;;;;;;;;1;1;1;1;1;0;0;;;;;5;0;2;32;6;20/11/2023 09:46
1466;404;0;1;1;1;1;1;1;1;0;;1;;;46;;;;;;;;;;;;;;2;28;3;20/11/2023 09:46
1467;404;0;1;1;1;0;1;1;1;0;;1;;;50;;;;;;;;;;;;;;2;45;3;20/11/2023 09:47
1468;405;1;1;1;1;1;1;1;;;1;;1;1;49;;;;;;;;;;;;;;2;31;4;20/11/2023 09:47
1469;405;;;;;;;;;;;;;;;1;0;0;1;1;1;1;5;0;5;0;;;2;55;5;20/11/2023 09:47
1470;405;;;;;;;;;;;;;;;0;1;1;1;1;1;1;6;0;4;2;;;1;38;5;20/11/2023 09:48
1471;405;;;;;;;;;;;;;;;0;0;1;0;1;0;1;;;;;6;6;2;20;6;20/11/2023 09:49
1472;405;0;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;20;3;20/11/2023 09:49
1473;405;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;5;0;2;36;6;20/11/2023 09:49
1474;406;;;;;;;;;;;;;;;0;1;1;1;0;1;1;;;;;10;5;3;37;6;20/11/2023 09:50
1475;406;;;;;;;;;;;;;;;1;1;1;1;1;1;0;4;0;4;0;;;2;21;5;20/11/2023 09:50
1476;406;0;1;0;0;1;1;1;1;0;;1;;;50;;;;;;;;;;;;;;2;36;3;20/11/2023 09:50
1477;406;;;;;;;;;;;;;;;1;0;1;0;0;1;1;;;;;0;0;2;53;6;20/11/2023 09:52
1478;406;1;1;1;1;1;1;1;;;0;;1;1;0;;;;;;;;;;;;;;1;21;4;20/11/2023 09:52
1479;406;1;1;1;0;0;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;33;3;20/11/2023 09:52
1480;406;1;1;1;0;0;1;1;1;1;0;;;;0;;;;;;;;;;;;;;2;41;3;20/11/2023 09:53
1481;407;;;;;;;;;;;;;;;1;1;1;1;1;0;1;2;0;2;0;;;2;33;5;20/11/2023 09:54
1482;407;1;0;1;1;1;1;1;;;;0;1;0;0;;;;;;;;;;;;;;2;55;4;20/11/2023 09:57
1483;407;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;33;4;20/11/2023 10:00
1484;407;;;;;;;;;;;;;;;0;0;0;1;0;0;0;;;;;8;2;2;51;6;20/11/2023 10:01
1485;407;1;1;1;1;0;1;1;;;1;;1;1;20;;;;;;;;;;;;;;2;26;4;20/11/2023 10:02
1486;407;0;0;1;1;1;1;1;;;1;;1;1;40;;;;;;;;;;;;;;1;26;4;20/11/2023 10:02
1487;408;1;0;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;29;4;20/11/2023 10:04
1488;408;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;2;1;26;6;20/11/2023 10:05
1489;408;;;;;;;;;;;;;;;1;1;1;1;1;1;1;2;0;3;0;;;2;24;5;20/11/2023 10:05
1490;409;;;;;;;;;;;;;;;1;1;1;1;1;1;1;7;0;7;4;;;2;19;5;20/11/2023 10:05
1491;409;1;1;0;1;1;1;1;1;1;1;;;;100;;;;;;;;;;;;;;2;35;3;20/11/2023 10:10
1492;409;;;;;;;;;;;;;;;0;1;1;1;1;1;0;10;10;10;10;;;1;32;5;20/11/2023 10:10
1493;409;1;1;1;1;0;1;1;0;1;1;;;;20;;;;;;;;;;;;;;2;40;3;20/11/2023 10:11
1494;409;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;5;0;2;36;6;20/11/2023 10:12
1495;410;;;;;;;;;;;;;;;0;1;1;1;1;1;0;10;0;5;10;;;1;21;5;20/11/2023 10:13
1496;410;;;;;;;;;;;;;;;0;0;1;0;0;0;0;;;;;0;5;1;46;6;20/11/2023 10:14
1497;410;0;1;1;1;1;1;1;1;1;1;;;;33;;;;;;;;;;;;;;2;46;3;20/11/2023 10:14
1498;410;;;;;;;;;;;;;;;1;0;1;1;1;1;1;;;;;2;2;2;49;6;20/11/2023 10:14
1499;410;;;;;;;;;;;;;;;1;1;1;1;0;1;1;10;0;10;0;;;2;40;5;20/11/2023 10:15
1500;410;;;;;;;;;;;;;;;1;1;1;1;0;1;1;5;3;5;3;;;2;35;5;20/11/2023 10:16
1501;411;0;1;1;0;0;1;1;;;1;;1;1;0;;;;;;;;;;;;;;1;33;4;20/11/2023 10:16
1502;411;;;;;;;;;;;;;;;0;1;1;1;1;0;1;10;0;10;10;;;2;34;5;20/11/2023 10:18
1503;411;0;0;1;1;1;0;1;;;1;;1;1;30;;;;;;;;;;;;;;2;40;4;20/11/2023 10:19
1504;411;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;5;0;1;28;6;20/11/2023 10:19
1505;411;;;;;;;;;;;;;;;0;0;1;1;1;1;1;10;10;10;10;;;2;44;5;20/11/2023 10:20
1506;411;;;;;;;;;;;;;;;1;1;1;1;1;0;1;10;1;10;1;;;2;35;5;20/11/2023 10:25
1507;411;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;5;0;2;23;6;20/11/2023 10:25
1508;411;;;;;;;;;;;;;;;0;1;1;1;1;0;1;;;;;6;4;2;51;6;20/11/2023 10:25
1509;411;;;;;;;;;;;;;;;0;1;0;1;1;1;1;10;0;10;0;;;2;59;5;20/11/2023 10:27
1510;411;0;0;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;48;4;20/11/2023 10:28
1511;411;1;0;1;1;1;1;1;;;;1;1;0;50;;;;;;;;;;;;;;2;29;4;20/11/2023 10:29
1512;411;1;0;0;1;1;1;1;;;1;;1;1;100;;;;;;;;;;;;;;1;40;4;20/11/2023 10:29
1513;411;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;5;0;2;36;6;20/11/2023 10:30
1514;411;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;0;2;24;6;20/11/2023 10:30
1515;412;0;0;1;0;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;;3;20/11/2023 10:31
1516;412;;;;;;;;;;;;;;;1;1;1;0;1;0;1;;;;;4;6;2;39;6;20/11/2023 10:33
1517;412;0;1;1;0;1;1;1;1;0;;1;;;50;;;;;;;;;;;;;;2;36;3;20/11/2023 10:34
1518;412;;;;;;;;;;;;;;;0;1;1;0;1;0;0;;;;;2;2;2;40;6;20/11/2023 10:35
1519;413;0;1;1;0;1;1;1;1;1;1;;;;33;;;;;;;;;;;;;;2;31;3;20/11/2023 10:35
1520;413;0;1;1;1;0;1;1;1;1;1;;;;20;;;;;;;;;;;;;;1;51;3;20/11/2023 10:35
1521;413;;;;;;;;;;;;;;;1;1;1;1;1;0;1;;;;;5;5;2;51;6;20/11/2023 10:35
1522;413;;;;;;;;;;;;;;;1;1;1;0;0;1;0;;;;;10;5;2;36;6;20/11/2023 10:36
1523;413;1;1;1;0;0;1;1;;;1;;1;1;0;;;;;;;;;;;;;;1;36;4;20/11/2023 10:36
1524;413;;;;;;;;;;;;;;;1;0;1;1;1;1;1;;;;;10;0;2;33;6;20/11/2023 10:39
1525;413;;;;;;;;;;;;;;;0;1;1;0;1;1;1;2;0;2;0;;;1;68;5;20/11/2023 10:40
1526;413;1;1;1;0;0;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;28;3;20/11/2023 10:42
1527;414;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;46;4;20/11/2023 10:43
1528;414;;;;;;;;;;;;;;;0;0;1;0;0;1;1;;;;;10;5;2;46;6;20/11/2023 10:45
1529;414;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;0;1;30;6;20/11/2023 10:45
1530;414;;;;;;;;;;;;;;;0;0;1;1;1;0;1;7;7;5;5;;;1;32;5;20/11/2023 10:46
1531;414;;;;;;;;;;;;;;;1;1;1;1;1;0;1;10;0;6;0;;;2;36;5;20/11/2023 10:46
1532;414;0;0;0;0;1;0;0;1;1;0;;;;50;;;;;;;;;;;;;;2;49;3;20/11/2023 10:46
1533;414;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;0;2;0;;;1;18;5;20/11/2023 10:47
1534;414;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;3;4;2;21;6;20/11/2023 10:48
1535;415;;;;;;;;;;;;;;;1;0;1;1;0;1;0;5;0;10;5;;;2;27;5;20/11/2023 10:49
1536;415;;;;;;;;;;;;;;;1;0;1;1;1;1;1;;;;;5;2;2;21;6;20/11/2023 10:49
1537;416;;;;;;;;;;;;;;;0;1;1;1;1;0;1;;;;;2;2;2;32;6;20/11/2023 10:51
1538;416;1;1;1;1;0;1;1;1;0;;1;;;50;;;;;;;;;;;;;;2;38;3;20/11/2023 10:52
1539;416;0;1;0;0;1;1;1;1;1;0;;;;40;;;;;;;;;;;;;;1;66;3;20/11/2023 10:52
1540;416;0;1;1;0;1;0;1;;;1;;1;1;34;;;;;;;;;;;;;;2;37;4;20/11/2023 10:52
1541;416;1;1;1;0;0;1;1;1;0;;1;;;45;;;;;;;;;;;;;;2;31;3;20/11/2023 10:55
1542;416;1;1;1;1;1;0;1;1;1;1;;;;50;;;;;;;;;;;;;;2;27;3;20/11/2023 10:56
1543;416;0;0;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;34;3;20/11/2023 10:56
1544;417;;;;;;;;;;;;;;;0;0;1;1;1;0;1;5;5;5;5;;;1;50;5;20/11/2023 10:57
1545;417;1;1;1;0;0;1;1;1;0;;0;;;10;;;;;;;;;;;;;;2;46;3;20/11/2023 10:58
1546;417;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;10;10;1;33;6;20/11/2023 10:59
1547;417;;;;;;;;;;;;;;;1;1;1;0;0;1;0;;;;;10;10;1;50;6;20/11/2023 10:59
1548;417;1;1;1;0;0;1;0;1;1;1;;;;40;;;;;;;;;;;;;;1;31;3;20/11/2023 11:00
1549;417;;;;;;;;;;;;;;;0;0;1;1;1;1;1;10;10;10;10;;;1;52;5;20/11/2023 11:02
1550;417;;;;;;;;;;;;;;;1;0;1;1;1;1;1;;;;;5;0;2;45;6;20/11/2023 11:03
1551;417;;;;;;;;;;;;;;;1;1;1;1;0;1;1;;;;;10;5;2;26;6;20/11/2023 11:07
1552;417;;;;;;;;;;;;;;;1;1;1;1;1;1;0;;;;;10;0;1;25;6;20/11/2023 11:07
1553;417;1;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;36;3;20/11/2023 11:10
1554;418;1;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;25;3;20/11/2023 11:10
1555;418;1;1;1;1;1;0;1;;;1;;1;1;50;;;;;;;;;;;;;;2;36;4;20/11/2023 11:11
1556;418;1;1;1;1;0;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;34;3;20/11/2023 11:14
1557;418;;;;;;;;;;;;;;;0;0;0;0;0;0;0;4;2;1;3;;;2;29;5;20/11/2023 11:14
1558;418;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;36;4;20/11/2023 11:14
1559;418;;;;;;;;;;;;;;;0;1;0;0;1;0;1;;;;;5;5;2;49;6;20/11/2023 11:14
1560;418;;;;;;;;;;;;;;;1;0;0;0;0;0;1;2;1;3;1;;;2;38;5;20/11/2023 11:18
1561;418;;;;;;;;;;;;;;;1;1;1;0;0;1;1;;;;;10;10;1;20;6;20/11/2023 11:18
1562;418;;;;;;;;;;;;;;;1;1;1;1;0;1;0;;;;;5;5;2;35;6;20/11/2023 11:18
1563;419;;;;;;;;;;;;;;;1;0;1;0;1;1;1;;;;;4;5;1;50;6;20/11/2023 11:19
1564;419;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;2;10;2;;;2;63;5;20/11/2023 11:19
