custom_id,persona_pid,record_id,metric,matched_value,candidate_uniform_value,diff
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip3__g9_m5wp79__game_1__p030__g024,concordia_0ff445a91dc0,chip3__g9_m5wp79__game_1,final_surplus,0.6620000000000008,-0.029999999999999957,0.6920000000000007
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip4__cohort_01_m898xg__game_2_alt_profile__p030__g041,concordia_0ff445a91dc0,chip4__cohort_01_m898xg__game_2_alt_profile,final_surplus,4.65,3.0,1.6500000000000004
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip4__cohort_02_m7xl5i__game_2_alt_profile__p030__g042,concordia_0ff445a91dc0,chip4__cohort_02_m7xl5i__game_2_alt_profile,final_surplus,6.300000000000001,6.666666666666666,-0.36666666666666536
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip4__cohort_02_m89542__game_1__p030__g033,concordia_0ff445a91dc0,chip4__cohort_02_m89542__game_1,final_surplus,3.713,3.5333333333333323,0.17966666666666775
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip4__cohort_02_m89542__game_2_alt_profile__p030__g043,concordia_0ff445a91dc0,chip4__cohort_02_m89542__game_2_alt_profile,final_surplus,0.669999999999999,1.366666666666666,-0.696666666666667
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip4__cohort_02_m8aboy__game_2_alt_profile__p030__g044,concordia_0ff445a91dc0,chip4__cohort_02_m8aboy__game_2_alt_profile,final_surplus,0.19750000000000018,0.8033333333333333,-0.6058333333333332
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip4__cohort_03_m898xg__game_2_alt_profile__p030__g045,concordia_0ff445a91dc0,chip4__cohort_03_m898xg__game_2_alt_profile,final_surplus,3.8059999999999996,3.0700000000000003,0.7359999999999993
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip4__cohort_04_m89542__game_2_alt_profile__p030__g046,concordia_0ff445a91dc0,chip4__cohort_04_m89542__game_2_alt_profile,final_surplus,1.992199999999999,2.8699999999999983,-0.8777999999999992
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip4__cohort_04_m8aboy__game_1__p030__g034,concordia_0ff445a91dc0,chip4__cohort_04_m8aboy__game_1,final_surplus,0.17100000000000012,0.6366666666666667,-0.46566666666666656
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip4__cohort_05_m7xlsd__game_1__p030__g035,concordia_0ff445a91dc0,chip4__cohort_05_m7xlsd__game_1,final_surplus,2.231700000000001,1.4033333333333335,0.8283666666666674
