domain,feature_name,feature_label,feature_value,metric_label,model_name,mean_wd,stderr,num_treatments
macro,punishment_enabled,Punishment enabled,False,Mean eff,gpt-5.1 twin,0.22293445480669907,0.024712159288547243,20
macro,punishment_enabled,Punishment enabled,True,Mean eff,gpt-5.1 twin,0.1855823043309795,0.02352410918886436,20
macro,reward_enabled,Reward enabled,False,Final-round contrib,gpt-5-mini baseline,0.5661135300679349,0.047276324876035565,18
macro,reward_enabled,Reward enabled,True,Final-round contrib,gpt-5-mini baseline,0.5140621424285335,0.05472216235915542,22
macro,reward_enabled,Reward enabled,False,Final-round contrib,gpt-5-mini twin,0.3374285744815344,0.034863384528369595,18
macro,reward_enabled,Reward enabled,True,Final-round contrib,gpt-5-mini twin,0.3175458951026272,0.04258769444924038,22
macro,reward_enabled,Reward enabled,False,Final-round contrib,gpt-5.1 baseline,0.4451631898371937,0.05899275001414058,18
macro,reward_enabled,Reward enabled,True,Final-round contrib,gpt-5.1 baseline,0.3556825963643284,0.05164194305578118,22
macro,reward_enabled,Reward enabled,False,Final-round contrib,gpt-5.1 twin,0.35968633317419163,0.04285311112937992,18
macro,reward_enabled,Reward enabled,True,Final-round contrib,gpt-5.1 twin,0.3135732048089141,0.04299478517047961,22
macro,reward_enabled,Reward enabled,False,Final-round eff,gpt-5-mini baseline,0.6352076508673563,0.04781133685220506,18
macro,reward_enabled,Reward enabled,True,Final-round eff,gpt-5-mini baseline,0.6838445710018168,0.10659899903147871,22
macro,reward_enabled,Reward enabled,False,Final-round eff,gpt-5-mini twin,0.43259223596976704,0.041737293471490404,18
macro,reward_enabled,Reward enabled,True,Final-round eff,gpt-5-mini twin,0.5028339631426558,0.09511846337120701,22
macro,reward_enabled,Reward enabled,False,Final-round eff,gpt-5.1 baseline,0.5224123664133407,0.05920791335643259,18
macro,reward_enabled,Reward enabled,True,Final-round eff,gpt-5.1 baseline,0.5287834860208339,0.10445767479646112,22
macro,reward_enabled,Reward enabled,False,Final-round eff,gpt-5.1 twin,0.4309972396998191,0.04127481113017679,18
macro,reward_enabled,Reward enabled,True,Final-round eff,gpt-5.1 twin,0.4856373543091241,0.10163111210842336,22
macro,reward_enabled,Reward enabled,False,First-round contrib,gpt-5-mini baseline,0.1352775998097635,0.013488041793528327,18
macro,reward_enabled,Reward enabled,True,First-round contrib,gpt-5-mini baseline,0.136712490476695,0.013662637245346118,22
macro,reward_enabled,Reward enabled,False,First-round contrib,gpt-5-mini twin,0.0742925979694985,0.009655048707246688,18
macro,reward_enabled,Reward enabled,True,First-round contrib,gpt-5-mini twin,0.07054935594708317,0.007205377942644662,22
macro,reward_enabled,Reward enabled,False,First-round contrib,gpt-5.1 baseline,0.15374713925883512,0.023883174405082086,18
macro,reward_enabled,Reward enabled,True,First-round contrib,gpt-5.1 baseline,0.17047552825961917,0.014086038036541484,22
macro,reward_enabled,Reward enabled,False,First-round contrib,gpt-5.1 twin,0.11187145673256782,0.016840046413682065,18
macro,reward_enabled,Reward enabled,True,First-round contrib,gpt-5.1 twin,0.10484163090697175,0.009697219307526685,22
macro,reward_enabled,Reward enabled,False,First-round eff,gpt-5-mini baseline,0.13376676635914278,0.013902836518340872,18
macro,reward_enabled,Reward enabled,True,First-round eff,gpt-5-mini baseline,0.14774689863981869,0.017251600953716063,22
macro,reward_enabled,Reward enabled,False,First-round eff,gpt-5-mini twin,0.09838146031053063,0.012790024384134667,18
macro,reward_enabled,Reward enabled,True,First-round eff,gpt-5-mini twin,0.10024479271662347,0.012585147594510744,22
macro,reward_enabled,Reward enabled,False,First-round eff,gpt-5.1 baseline,0.164967940892291,0.021039984577782465,18
macro,reward_enabled,Reward enabled,True,First-round eff,gpt-5.1 baseline,0.18674095972901245,0.014307068485237634,22
macro,reward_enabled,Reward enabled,False,First-round eff,gpt-5.1 twin,0.12454876445761973,0.018097958498958528,18
macro,reward_enabled,Reward enabled,True,First-round eff,gpt-5.1 twin,0.13680436232060336,0.012277681309707937,22
macro,reward_enabled,Reward enabled,False,Mean contrib,gpt-5-mini baseline,0.32092429515081944,0.042641355296195296,18
macro,reward_enabled,Reward enabled,True,Mean contrib,gpt-5-mini baseline,0.2719699661089435,0.02590680355877569,22
macro,reward_enabled,Reward enabled,False,Mean contrib,gpt-5-mini twin,0.19606305859370363,0.028255122816887274,18
macro,reward_enabled,Reward enabled,True,Mean contrib,gpt-5-mini twin,0.16427297394955068,0.02281494045422124,22
macro,reward_enabled,Reward enabled,False,Mean contrib,gpt-5.1 baseline,0.21976562232530533,0.03737764092975844,18
macro,reward_enabled,Reward enabled,True,Mean contrib,gpt-5.1 baseline,0.1505657070339599,0.017153750965850072,22
macro,reward_enabled,Reward enabled,False,Mean contrib,gpt-5.1 twin,0.16737527786116363,0.021250860044886355,18
macro,reward_enabled,Reward enabled,True,Mean contrib,gpt-5.1 twin,0.1421600282260502,0.014927852154875586,22
macro,reward_enabled,Reward enabled,False,Mean eff,gpt-5-mini baseline,0.3874125012338018,0.0474471534212941,18
macro,reward_enabled,Reward enabled,True,Mean eff,gpt-5-mini baseline,0.32652728918606316,0.03302195844776372,22
macro,reward_enabled,Reward enabled,False,Mean eff,gpt-5-mini twin,0.26623677032756066,0.03142158511750034,18
macro,reward_enabled,Reward enabled,True,Mean eff,gpt-5-mini twin,0.2250989429910021,0.02923983075337183,22
macro,reward_enabled,Reward enabled,False,Mean eff,gpt-5.1 baseline,0.2945594667476259,0.03934087442729025,18
