config_feature,config_value,n_games,n_player_round_rows,share_any,mean_units,median_units,p95_units,mean_targets,conditional_mean_units_if_any,delta_vs_overall_mean_units,delta_vs_overall_share_any
CONFIG_playerCount,3,6,288,0.1840277777777778,0.4618055555555556,0.0,3.6499999999999773,0.3055555555555556,2.509433962264151,-0.5578488950777152,0.007173199426055377
CONFIG_playerCount,4,14,856,0.17990654205607476,0.3901869158878505,0.0,2.0,0.3014018691588785,2.168831168831169,-0.6294675347454203,0.003051963704352345
CONFIG_playerCount,5,8,898,0.17928730512249444,0.3741648106904232,0.0,3.0,0.3518930957683742,2.0869565217391304,-0.6454896399428476,0.0024327267707720257
CONFIG_playerCount,6,11,1220,0.16639344262295083,0.4713114754098361,0.0,3.0,0.35737704918032787,2.832512315270936,-0.5483429752234347,-0.010461135728771581
CONFIG_playerCount,7,10,929,0.20882669537136705,0.7728740581270183,0.0,5.0,0.6297093649085038,3.7010309278350517,-0.2467803925062525,0.03197211701964464
CONFIG_playerCount,8,12,750,0.18666666666666668,0.652,0.0,4.0,0.4266666666666667,3.492857142857143,-0.36765445063327074,0.009812088314944262
CONFIG_playerCount,9,10,1136,0.19190140845070422,0.7570422535211268,0.0,5.0,0.5598591549295775,3.944954128440367,-0.262612197112144,0.015046830098981806
CONFIG_punishmentExists,False,91,14144,0.2422935520361991,1.5074943438914028,0.0,6.0,0.7628676470588235,6.2217683104756345,0.48783989325813204,0.06543897368447668
CONFIG_punishmentExists,True,91,14043,0.1109449547817418,0.5283059175389874,0.0,2.0,0.35199031545965964,4.7618741976893455,-0.4913485330942834,-0.06590962356998062
CONFIG_punishmentMagnitude,1,4,584,0.1113013698630137,0.8732876712328768,0.0,8.0,0.6438356164383562,7.846153846153846,-0.146366779400394,-0.06555320848870871
CONFIG_punishmentMagnitude,10,4,292,0.20205479452054795,0.5273972602739726,0.0,3.0,0.4520547945205479,2.610169491525424,-0.49225719035929816,0.025200216168825534
CONFIG_punishmentMagnitude,11,20,2082,0.16570605187319884,0.3266090297790586,0.0,2.0,0.28914505283381364,1.9710144927536233,-0.6930454208542122,-0.011148526478523574
CONFIG_punishmentMagnitude,12,4,196,0.04081632653061224,0.0663265306122449,0.0,0.0,0.0663265306122449,1.625,-0.9533279200210258,-0.13603825182111018
CONFIG_punishmentMagnitude,13,1,8,0.375,0.625,0.0,2.0,0.625,1.6666666666666667,-0.39465445063327076,0.1981454216482776
CONFIG_punishmentMagnitude,14,2,192,0.041666666666666664,0.109375,0.0,0.0,0.109375,2.625,-0.9102794506332708,-0.13518791168505576
