role_slice,game,n_case_groups,mean_abs_error_relative_payoff_diff_pct,median_abs_error_relative_payoff_diff_pct,summary_scope,run_name,run_label
both,Proposer,4,20.61185501576532,21.387390054882005,by_game,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
both,Responder,4,34.9229107940278,32.87192239524153,by_game,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
no,Sender,4,1.1318297728021676,1.2979647860961618,by_game,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
no,Receiver,4,0.0301823797438482,0.0219745095689005,by_game,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
no,PD,4,17.95944758679295,17.52556001588436,by_game,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
no,SH,4,1.3335323032301227,1.059214242505585,by_game,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
no,C,4,9.090045660365709,8.527660968816559,by_game,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
no,Proposer,4,28.28969648114252,30.704560989443635,by_game,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
no,Responder,4,54.53815716285435,48.78288285675873,by_game,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
yes,Sender,4,0.9149823866490464,0.8536316138052724,by_game,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
yes,Receiver,4,0.1487476925801423,0.1343582477913441,by_game,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
yes,PD,4,10.499153314829025,9.736879466187116,by_game,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
yes,SH,4,0.3930532153459789,0.4129421636183905,by_game,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
yes,C,4,8.687044850683714,10.056321574344718,by_game,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
yes,Proposer,4,12.76720174235702,14.580989458400374,by_game,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
yes,Responder,4,16.339749305082062,12.967430639324458,by_game,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
both,Sender,3,0.701894435076981,0.4249760835970617,by_game_non_benchmark,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
both,Receiver,3,0.073379579666862,0.045489606613791,by_game_non_benchmark,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
both,PD,3,11.676608101703724,11.6558610572145,by_game_non_benchmark,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
both,SH,3,0.7249970241905324,0.5989799149704544,by_game_non_benchmark,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
both,C,3,7.199402592407041,9.084703183878547,by_game_non_benchmark,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
both,Proposer,3,18.509348769311163,19.772534221189055,by_game_non_benchmark,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
both,Responder,3,31.537449374539907,29.1103769689104,by_game_non_benchmark,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
no,Sender,3,1.0141941318692356,1.1111928765913603,by_game_non_benchmark,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
no,Receiver,3,0.0146496730459337,0.0199768268808187,by_game_non_benchmark,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
no,PD,3,16.84989221824657,17.21003347647079,by_game_non_benchmark,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
no,SH,3,1.4383253411532495,1.099275295550428,by_game_non_benchmark,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
no,C,3,6.9677765562633995,6.782808148107689,by_game_non_benchmark,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
no,Proposer,3,25.449821082673168,24.59979930233669,by_game_non_benchmark,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
no,Responder,3,55.6627888687076,46.40150366822289,by_game_non_benchmark,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
yes,Sender,3,0.5744202738574752,0.2612407093972813,by_game_non_benchmark,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
yes,Receiver,3,0.14661907648712,0.113582954723479,by_game_non_benchmark,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
yes,PD,3,6.503323985160887,7.813165491458051,by_game_non_benchmark,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
yes,SH,3,0.4364462540554266,0.5630102280191451,by_game_non_benchmark,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
yes,C,3,7.510809610759033,7.8968925782316735,by_game_non_benchmark,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
yes,Proposer,3,11.418085020569492,12.347427009081148,by_game_non_benchmark,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
yes,Responder,3,8.681499907177761,12.258027457062411,by_game_non_benchmark,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
both,ALL,4,11.480824873174724,8.853913216834085,overall,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
no,ALL,4,16.05327019241881,8.527660968816559,overall,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
yes,ALL,4,7.107133215360998,1.0514338921178037,overall,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
