domain,feature_name,feature_label,metric_label,model_name,wd_diff_true_minus_false,diff_stderr,true_num_treatments,false_num_treatments
micro,all_or_nothing,All-or-nothing,Player mean payoff,gpt-5-mini twin,-0.08343684784588468,0.03955311494732595,18,22
micro,all_or_nothing,All-or-nothing,Player mean payoff,gpt-5.1 baseline,0.017996960781323512,0.046928610469166375,18,22
micro,all_or_nothing,All-or-nothing,Player mean payoff,gpt-5.1 twin,-0.03146733486064854,0.03344938740180992,18,22
micro,all_or_nothing,All-or-nothing,Round contrib,gpt-5-mini baseline,-0.059087071894445675,0.04393128282773181,18,22
micro,all_or_nothing,All-or-nothing,Round contrib,gpt-5-mini twin,-0.06254981226940998,0.030659342916396885,18,22
micro,all_or_nothing,All-or-nothing,Round contrib,gpt-5.1 baseline,0.029586038602850723,0.03495508329232519,18,22
micro,all_or_nothing,All-or-nothing,Round contrib,gpt-5.1 twin,-0.007318454991069923,0.02190347522904952,18,22
micro,all_or_nothing,All-or-nothing,Round eff,gpt-5-mini baseline,-0.05729734862201746,0.05296766238714178,18,22
micro,all_or_nothing,All-or-nothing,Round eff,gpt-5-mini twin,-0.0650538416651964,0.040247846368619285,18,22
micro,all_or_nothing,All-or-nothing,Round eff,gpt-5.1 baseline,0.011449148187972547,0.04479619232546289,18,22
micro,all_or_nothing,All-or-nothing,Round eff,gpt-5.1 twin,-0.019900938275606073,0.035179292899984047,18,22
micro,all_or_nothing,All-or-nothing,Round-to-round contrib change,gpt-5-mini baseline,0.04395683271201009,0.013488032144617731,18,22
micro,all_or_nothing,All-or-nothing,Round-to-round contrib change,gpt-5-mini twin,0.020917978231593484,0.009946398278398143,18,22
micro,all_or_nothing,All-or-nothing,Round-to-round contrib change,gpt-5.1 baseline,0.026943785567761627,0.012279092291754886,18,22
micro,all_or_nothing,All-or-nothing,Round-to-round contrib change,gpt-5.1 twin,0.01803891382911571,0.010542644205220495,18,22
micro,all_or_nothing,All-or-nothing,Round-to-round eff change,gpt-5-mini baseline,0.032240502684101974,0.028880160973644212,18,22
micro,all_or_nothing,All-or-nothing,Round-to-round eff change,gpt-5-mini twin,0.02051908040577638,0.025496994052778575,18,22
micro,all_or_nothing,All-or-nothing,Round-to-round eff change,gpt-5.1 baseline,0.023143318000000718,0.021483208991422854,18,22
micro,all_or_nothing,All-or-nothing,Round-to-round eff change,gpt-5.1 twin,0.01944422634722151,0.024018606119021405,18,22
micro,chat_enabled,Chat enabled,Player mean contrib,gpt-5-mini baseline,-0.002350180813658176,0.04857271508753415,26,14
micro,chat_enabled,Chat enabled,Player mean contrib,gpt-5-mini twin,-0.019481546404366418,0.039235908396962504,26,14
micro,chat_enabled,Chat enabled,Player mean contrib,gpt-5.1 baseline,0.013712769480404896,0.03882782838335166,26,14
micro,chat_enabled,Chat enabled,Player mean contrib,gpt-5.1 twin,0.015352978146949803,0.02907732075488865,26,14
micro,chat_enabled,Chat enabled,Player mean payoff,gpt-5-mini baseline,0.027044143162646417,0.05516481681982527,26,14
