treatment_name,metric,generated_game_count,human_game_count,wasserstein_distance,run_name,run_label,treatment_label,score,family_name
VALIDATION_16_C,mean_round_normalized_efficiency,10,10,0.8078964426288368,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,16-C,0.8078964426288368,gpt-5-mini
VALIDATION_16_T,mean_round_normalized_efficiency,8,8,0.0909158691465029,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,16-T,0.0909158691465029,gpt-5-mini
VALIDATION_17_C,mean_round_normalized_efficiency,11,11,0.4540948924242654,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,17-C,0.4540948924242654,gpt-5-mini
VALIDATION_17_T,mean_round_normalized_efficiency,8,8,0.1309842140162788,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,17-T,0.1309842140162788,gpt-5-mini
VALIDATION_18_C,mean_round_normalized_efficiency,12,12,0.3244714950035982,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,18-C,0.3244714950035982,gpt-5-mini
VALIDATION_18_T,mean_round_normalized_efficiency,10,10,0.2060628626604359,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,18-T,0.2060628626604359,gpt-5-mini
VALIDATION_19_C,mean_round_normalized_efficiency,10,10,0.2476883210180623,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,19-C,0.2476883210180623,gpt-5-mini
VALIDATION_19_T,mean_round_normalized_efficiency,10,10,0.4898860837438423,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,19-T,0.4898860837438423,gpt-5-mini
VALIDATION_1_C,mean_round_normalized_efficiency,8,8,0.5074257425742574,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,1-C,0.5074257425742574,gpt-5-mini
VALIDATION_1_T,mean_round_normalized_efficiency,8,8,0.4993341705494077,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,1-T,0.4993341705494077,gpt-5-mini
VALIDATION_2_C,mean_round_normalized_efficiency,9,9,0.1244855967078189,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,2-C,0.1244855967078189,gpt-5-mini
VALIDATION_2_T,mean_round_normalized_efficiency,11,11,0.0859638047138047,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,2-T,0.0859638047138047,gpt-5-mini
VALIDATION_3_C,mean_round_normalized_efficiency,9,9,0.2484814029484444,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,3-C,0.2484814029484444,gpt-5-mini
VALIDATION_3_T,mean_round_normalized_efficiency,10,10,0.1995230005619833,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,3-T,0.1995230005619833,gpt-5-mini
VALIDATION_4_C,mean_round_normalized_efficiency,12,12,0.0707581691043259,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,4-C,0.0707581691043259,gpt-5-mini
VALIDATION_4_T,mean_round_normalized_efficiency,9,9,0.1591658933910712,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,4-T,0.1591658933910712,gpt-5-mini
VALIDATION_5_C,mean_round_normalized_efficiency,9,9,0.3472222222222223,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,5-C,0.3472222222222223,gpt-5-mini
